slug_clinic,local_price,local_currency,usd_price,Method,Grafts,Package_size
nielsen-haarkliniek,2999,EUR,3084,FUE,1500,XS
nielsen-haarkliniek,3999,EUR,4112,FUE,3000,L
nielsen-haarkliniek,5199,EUR,5346,FUE,4000,XL
nielsen-haarkliniek,4149,EUR,4266,DHI,2000,S
nielsen-haarkliniek,5149,EUR,5294,DHI,3000,L
nielsen-haarkliniek,2800,EUR,2879,MICRO FUE,1500,XS
nielsen-haarkliniek,3700,EUR,3804,MICRO FUE,3000,L
nielsen-haarkliniek,4400,EUR,4524,MICRO FUE,4000,XL
zantman-kliniek,4800,EUR,4935,FUE,1500,XS
zantman-kliniek,5500,EUR,5655,FUE,2000,S
zantman-kliniek,5950,EUR,6118,FUE,2500,M
zantman-kliniek,6200,EUR,6375,FUE,3000,L
dr.-acar---cosmedica,2300,EUR,2365,FUE,4000,XL
dr.-acar---cosmedica,3200,EUR,3290,FUE,5500,XXL
dr.-acar---cosmedica,2990,EUR,3074,DHI,4000,XL
dr.-acar---cosmedica,3890,EUR,4000,DHI,5500,XXL
elithair,2700,GBP,3288,DHI,2000,S
elithair,2800,GBP,3410,DHI,2500,M
elithair,2900,GBP,3531,DHI,3000,L
elithair,3100,GBP,3775,DHI,4000,XL
elithair,3300,GBP,4018,DHI,5000,XXL
sydney-hair-transplant,12155,AUD,7504,FUE,1500,XS
sydney-hair-transplant,15428,AUD,9525,FUE,2000,S
sydney-hair-transplant,17160,AUD,10594,FUE,2500,M
sydney-hair-transplant,19360,AUD,11952,FUE,3000,L
hair-transplants-melbourne,14348,AUD,8858,FUE,1500,XS
hair-transplants-melbourne,16846,AUD,10400,FUE,2000,S
hair-transplants-melbourne,19720,AUD,12175,FUE,2500,M
hair-transplants-melbourne,21218,AUD,13099,FUE,3000,L
hair-transplants-melbourne,24056,AUD,14851,FUE,4000,XL
ashley-and-martin-auckland,12000,NZD,6685,FUE,1500,XS
ashley-and-martin-auckland,15500,NZD,8634,FUE,2500,M
the-knudsen-clinic,13000,NZD,7242,FUE,1500,XS
the-knudsen-clinic,20000,NZD,11141,FUE,2500,M
new-zealand-hair-transplantation-institute,12500,NZD,6963,FUE,1500,XS
new-zealand-hair-transplantation-institute,17500,NZD,9749,FUE,2500,M
advanced-hair-studio,9990,NZD,5565,FUE,1500,XS
advanced-hair-studio,12990,NZD,7236,FUE,2500,M
o2-clinic,3250,EUR,3342,FUE,1500,XS
o2-clinic,4350,EUR,4473,FUE,3000,L
o2-clinic,5450,EUR,5604,FUE,4000,XL
nationaal-huid-centrum,4800,EUR,4935,FUE,1500,XS
shinwa-clinic,1705000,JPY,10953,FUE,1500,XS
shinwa-clinic,2200000,JPY,14133,FUE,2000,S
shinwa-clinic,2695000,JPY,17313,FUE,2500,M
koher-medical,9000,USD,9000,FUE,1500,XS
koher-medical,12000,USD,12000,FUE,2000,S
koher-medical,15000,USD,15000,FUE,2500,M
koher-medical,18000,USD,18000,FUE,3000,L
koher-medical,24000,USD,24000,FUE,4000,XL
koher-medical,33000,USD,33000,FUE,5500,XXL
institut-medical-asclepios,3600,EUR,,FUE,1500,XS
institut-medical-asclepios,4600,EUR,,FUE,2000,S
institut-medical-asclepios,5600,EUR,,FUE,2500,M
institut-medical-asclepios,6600,EUR,,FUE,3000,L
my-hair-medical,5400,EUR,,FUE,1500,XS
my-hair-medical,6600,EUR,,FUE,2000,S
my-hair-medical,7500,EUR,,FUE,2500,M
my-hair-medical,9000,EUR,,FUE,3000,L
